Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,1,50,0.23605444696708952,0.8578,49.75395987328405,10.66899714124997,0.01368316978570865,0.0021835415023623308,0.12561779246800756,0.038801862659880705,nan,nan,nan,nan,nan,nan,15.032893985554853,
distributed,0,1,70,0.2392259758435133,0.8545,68.88761706555671,17.57447644233598,0.013359218616236746,0.0008558614350968536,0.1392830209363381,0.055742886098276566,nan,nan,nan,nan,nan,nan,14.96117305743662,
distributed,0,1,100,0.24175399636624872,0.8535,97.53041825095058,29.40615959662571,0.01217365910910319,0.0022609537410560594,0.12119597318134345,0.03299876803746514,nan,nan,nan,nan,nan,nan,14.926361249936997,
distributed,0,2,-1,0.2230334388336499,0.8739,98.53543307086615,45.676349338458394,0.012853638191272727,0.0016894830978966683,0.12153253603473395,0.05259327512961983,1e-05,0.0,5.519197469157446e-17,2.1991391336868423e-17,0.0,0.0,14.839076063174883,
distributed,0,2,1,0.24745399970761642,0.8438,1.0,0.0,0.012916921017823721,0.006496609811872912,0.13689308767847266,0.04773225209652996,nan,nan,nan,nan,nan,nan,15.13081087832594,
distributed,0,2,2,0.23566535090299015,0.8526,1.99009900990099,0.1386483884679505,0.012897574049265734,0.004635143743367838,0.12093052142175617,0.053510767468572334,nan,nan,nan,nan,nan,nan,14.925026892311312,
distributed,0,2,3,0.22959964536476252,0.8609,2.985294117647059,0.2916610405434508,0.012914811571557465,0.004280430651681849,0.12601644943878873,0.0564441086293259,nan,nan,nan,nan,nan,nan,15.11993187204462,
distributed,0,2,5,0.22642978853345572,0.8663,4.979591836734694,0.6244997998398398,0.012661123263216556,0.003227422993524412,0.1220729950596513,0.051923874770506036,nan,nan,nan,nan,nan,nan,14.788063405759635,
distributed,0,2,7,0.22549514106968896,0.869,6.9737417943107225,1.0210526194917653,0.013134988134782557,0.0025381451544022947,0.13536444251559485,0.0549769067714965,nan,nan,nan,nan,nan,nan,15.099210729703463,
distributed,0,2,10,0.22450765647965504,0.8706,9.942608695652174,1.3850683191738544,0.012855243975278511,0.0021782740503475235,0.12776160175832824,0.048254603720780595,nan,nan,nan,nan,nan,nan,14.92101722185061,
distributed,0,2,20,0.2246418562458688,0.8729,19.84463276836158,3.6846075896690276,0.013588494513123588,0.0018121384735361112,0.14945962225644352,0.04467301246834642,nan,nan,nan,nan,nan,nan,15.002802423968912,
