case,tValue,lossValue,predictionAccuracy,betaAdapt,deltaAdapt,rhoAdapt,tau,it_each_local,it_each_global
0,0.20059460357545006,0.26810372961618323,0.8312,nan,nan,nan,10,0.011156235853885553,0.08903224503659452
0,0.5301828784181768,0.24566765281022968,0.8447,nan,nan,nan,10,0.01350996701790839,0.19448860466364276
0,0.9485010870434452,0.23748679533605502,0.8498,nan,nan,nan,10,0.015948820393355885,0.2588300046917095
0,1.2638452552347577,0.23293189552604973,0.8552,nan,nan,nan,10,0.011006033757954533,0.2052838306117671
0,1.536741939884476,0.23108947282197873,0.8613,nan,nan,nan,10,0.014060529753759949,0.13229138711211882
0,1.8087810542325504,0.23090678555894203,0.8585,nan,nan,nan,10,0.012131028234833452,0.15072883199974
0,2.0616856273730857,0.23343710156538458,0.8616,nan,nan,nan,10,0.01609579722194831,0.09194660092105218
0,2.3192147544814197,0.22707851343597704,0.868,nan,nan,nan,10,0.014635767465782407,0.11117145245050991
0,2.585755267728615,0.2263065499527021,0.8682,nan,nan,nan,10,0.014296300389027938,0.12357750935691603
0,2.866959009492943,0.22849844006801176,0.8625,nan,nan,nan,10,0.014167250483195512,0.1395312369323727
0,3.1589529410220436,0.22529139108035823,0.8713,nan,nan,nan,10,0.012441654140369438,0.16757739012540637
0,3.313663687159973,0.22663311280388465,0.8663,nan,nan,nan,10,0.013325826180956232,0.021452484328367202
0,3.5877347836807747,0.22471505297955632,0.8715,nan,nan,nan,10,0.013353183439155286,0.14053926212924875
0,3.9048851979029093,0.22404746255414604,0.8728,nan,nan,nan,10,0.0120803556762078,0.1963468574600566
0,4.181239159280803,0.2239909786763093,0.8724,nan,nan,nan,10,0.011227818923572089,0.16407577214217278
0,4.467440361978281,0.223842121823359,0.8709,nan,nan,nan,10,0.015176441903160393,0.13443678366587372
0,4.8059342935889084,0.22348641245605064,0.8715,nan,nan,nan,10,0.015692842374514054,0.1815655078654866
0,5.096885696583425,0.2235281855629677,0.8715,nan,nan,nan,10,0.012718427093016993,0.16376713206434634
0,5.31453189447452,0.22492612775911067,0.8687,nan,nan,nan,10,0.012264029825532492,0.09500589963576975
0,5.526912210643562,0.2249738412529178,0.8688,nan,nan,nan,10,0.012551578978554906,0.0868645263834931
0,5.8024996528252935,0.2228810985756307,0.8723,nan,nan,nan,10,0.014289477729912892,0.13269266488260234
0,6.197791675371307,0.22358926073748475,0.8716,nan,nan,nan,10,0.017241023473332725,0.22288178781268586
0,6.44087291460032,0.2226592210243992,0.8752,nan,nan,nan,10,0.012563594051685528,0.117445298712157
0,6.63871522935448,0.22494068033814762,0.8756,nan,nan,nan,10,0.01087731639124414,0.0890691508417183
0,6.752441824630421,0.22292757762707704,0.8762,nan,nan,nan,10,0.011178794899198105,0.0019386462839600938
0,7.003165343819288,0.2228881201911726,0.8748,nan,nan,nan,10,0.013224054056595408,0.11848297862291243
0,7.24449746736113,0.22261292924222642,0.8751,nan,nan,nan,10,0.013264704169358644,0.10868508184825605
0,7.46843707509505,0.22780608582460382,0.8752,nan,nan,nan,10,0.013273136273507517,0.09120824499884456
0,7.7256476627935395,0.22428214643182348,0.8745,nan,nan,nan,10,0.015348434400117591,0.10372624369731359
0,7.942168166981298,0.223436028810719,0.8725,nan,nan,nan,10,0.010585997047705551,0.11066053371070239
0,8.162678667755797,0.2255979097669752,0.8682,nan,nan,nan,10,0.01170288636856697,0.10348163708882928
0,8.403386795509014,0.22268313408632878,0.8758,nan,nan,nan,10,0.008767170495570745,0.15303642279751073
0,8.71579018353846,0.22251650396148326,0.8754,nan,nan,nan,10,0.014269787721429736,0.16970551081514773
0,9.063348495764295,0.2225593284793178,0.8747,nan,nan,nan,10,0.012727268159769156,0.2202856306281435
0,9.402756031701069,0.2245212041266198,0.8776,nan,nan,nan,10,0.011520150070616228,0.22420603523061175
0,9.631759532536812,0.22518658327157673,0.8712,nan,nan,nan,10,0.01051145653923873,0.12388893544335614
0,9.862767212353607,0.22397550853659018,0.873,nan,nan,nan,10,0.010009868266176265,0.13090899715503293
0,10.16752099417354,0.2225443585443541,0.8765,nan,nan,nan,10,0.014477740924899726,0.1599763725709355
0,10.353532993051658,0.22293424089974784,0.8745,nan,nan,nan,10,0.01063465306341578,0.07966546824396076
0,10.550778606373688,0.22264183883244512,0.8749,nan,nan,nan,10,0.013372201894739949,0.06352359437463008
0,10.790300064748015,0.22250876856035484,0.875,nan,nan,nan,10,0.015857695366330894,0.08094450471101791
0,11.044383446546052,0.22251661973678705,0.8754,nan,nan,nan,10,0.010926964487256278,0.14481373692547342
