case,tValue,lossValue,predictionAccuracy,betaAdapt,deltaAdapt,rhoAdapt,tau,it_each_local,it_each_global
0,0.2550198911629249,0.5746823871826267,0.7899,nan,nan,nan,10,0.013001581430612178,0.12500407685680315
0,0.48342466266983114,0.2711607819428911,0.8527,nan,nan,nan,10,0.011479276907310178,0.11361200243380444
0,0.7679915491884872,0.2550423907288652,0.8486,nan,nan,nan,10,0.011377016860213435,0.1707967179165218
0,1.0668968687358897,0.5241265544709747,0.7344,nan,nan,nan,10,0.014340496451642749,0.15550035503097495
0,1.2885589934443071,0.27664745309210415,0.8415,nan,nan,nan,10,0.013614079167909151,0.08552133302932582
0,1.580234781760797,0.2701471165174391,0.8431,nan,nan,nan,10,0.015495537053048842,0.13672041778600139
0,1.7926143765151552,0.23840332167442582,0.871,nan,nan,nan,10,0.009112192392596998,0.12125767082838823
0,2.0555780474218674,0.4154929093408479,0.7915,nan,nan,nan,10,0.011649666087917291,0.14646701002753942
0,2.232066208470607,0.3265383823441628,0.8297,nan,nan,nan,10,0.010620777970052618,0.07028038134821339
0,2.483590363986512,0.2564826632729212,0.8675,nan,nan,nan,10,0.015190225196768506,0.09962190354821969
0,2.783729858226496,0.3200198283845255,0.8371,nan,nan,nan,10,0.012410129477443282,0.1760381994655515
0,3.0803831543488487,0.24481247708646542,0.8724,nan,nan,nan,10,0.015919520257533886,0.13745809354701352
0,3.335341004933404,0.23690173098812256,0.8721,nan,nan,nan,10,0.010705966330841511,0.14789818727614013
0,3.609818592975232,0.257535428938509,0.8668,nan,nan,nan,10,0.011013388967185676,0.1643436983699712
0,3.8910495893482206,0.4203812005514266,0.7804,nan,nan,nan,10,0.011590887638400032,0.16532211998898835
0,4.16120856666758,0.28777176298979945,0.8532,nan,nan,nan,10,0.012849662923582883,0.14166234808353034
0,4.31316199004957,0.2442629517643558,0.8711,nan,nan,nan,10,0.009629607969601474,0.05565734368597605
0,4.519510907179318,0.4205334351358554,0.77,nan,nan,nan,10,0.010279787407898066,0.10355104305076657
0,4.775592881918875,0.47107204496660654,0.7662,nan,nan,nan,10,0.013932223447646951,0.11675974026308843
0,5.0130619304379795,0.3251800931403848,0.8288,nan,nan,nan,10,0.011551534298671456,0.12195370553238971
0,5.184530239165046,0.24545076271628388,0.8701,nan,nan,nan,10,0.009773186881242724,0.0737364399146384
0,5.329326134264922,0.2584139568038929,0.8554,nan,nan,nan,10,0.01074815707821503,0.03731432431772631
0,5.510876950027635,0.2614234473446359,0.8694,nan,nan,nan,10,0.01307386555828791,0.0508121601798341
0,5.706374980652899,0.36628387589381817,0.8106,nan,nan,nan,10,0.014323932062096279,0.052258710004301004
0,5.925883702168147,0.36610894559320695,0.8138,nan,nan,nan,10,0.014107532536900901,0.07843339614623954
0,6.17148894272937,0.2537562510101391,0.8651,nan,nan,nan,10,0.015692929754716,0.08867594301406281
0,6.40708891417679,0.24957946758153438,0.8633,nan,nan,nan,10,0.014919996103168845,0.08640001041573117
0,6.656693559989516,0.42739798900982,0.7865,nan,nan,nan,10,0.012542467255878797,0.12417997325393779
0,6.960645703042699,0.31029342942771604,0.8377,nan,nan,nan,10,0.01304606200923308,0.17349152296085266
0,7.140941359326864,0.2546494516223293,0.8696,nan,nan,nan,10,0.014326611667075643,0.0370295396134081
0,7.354512122618352,0.2632795764848508,0.8566,nan,nan,nan,10,0.01168409461177955,0.09672981717369211
0,7.6372484564412515,0.24546330739569186,0.8657,nan,nan,nan,10,0.01477468934536283,0.13498944036927163
0,7.952499893383879,0.3351415428035819,0.8122,nan,nan,nan,10,0.012481607542779605,0.19043536151483187
0,8.21211837202582,0.283060351526881,0.8433,nan,nan,nan,10,0.011272795447198607,0.14689052416995532
