case,tValue,lossValue,predictionAccuracy,betaAdapt,deltaAdapt,rhoAdapt,tau,it_each_local,it_each_global
0,10.442663763594075,inf,0.0003,nan,nan,nan,1,0.020785874275610013,0.15046178141051378
0,10.56088878103914,inf,0.0003,nan,nan,nan,1,0.00923173279550587,0.1089932846495596
0,10.786448134263654,inf,0.0003,nan,nan,nan,1,0.01850889065552796,0.20705046256898707
0,10.968636346003812,inf,0.0003,nan,nan,nan,1,0.01410343821371913,0.1680847735264381
0,11.203771046607859,inf,0.0003,nan,nan,nan,1,0.013142170827302539,0.22199252977674352
0,11.296176424923834,inf,0.0003,nan,nan,nan,1,0.012027700794542878,0.08037767752143296
0,11.478593793009273,inf,0.0003,nan,nan,nan,1,0.012477796247219564,0.16993957183821984
0,11.64305984781234,inf,0.0003,nan,nan,nan,1,0.010209904642079652,0.15425615016098806
0,11.653374092352662,inf,0.0003,nan,nan,nan,1,0.010314244440320962,1e-10
0,11.748866498787,inf,0.0003,nan,nan,nan,1,0.008359192938190404,0.08713321349614794
0,11.89024261676496,inf,0.0003,nan,nan,nan,1,0.022006417141159185,0.11936970083679913
0,12.061510608054,inf,0.0003,nan,nan,nan,1,0.01191269046769893,0.1593553008213407
0,12.191903972868552,inf,0.0003,nan,nan,nan,1,1e-08,0.1303933548145508
0,12.426894585786988,inf,0.0003,nan,nan,nan,1,0.013175824023494992,0.22181478889494005
0,12.623019120474577,inf,0.0003,nan,nan,nan,1,0.019146608782402996,0.17697792590518574
0,12.780831296913298,inf,0.0003,nan,nan,nan,1,0.008300647734075333,0.14951152870464635
0,12.961010532822678,inf,0.0003,nan,nan,nan,1,0.014043038814510536,0.16613619709487012
0,13.15694147122191,inf,0.0003,nan,nan,nan,1,0.02715197914719831,0.16877895925203307
0,13.261135552882513,inf,0.0003,nan,nan,nan,1,0.01302598875287211,0.09116809290773108
0,13.397177803573335,inf,0.0003,nan,nan,nan,1,0.019204540308042597,0.11683771038278037
0,13.529026505169357,inf,0.0003,nan,nan,nan,1,0.01643353811021655,0.11541516348580602
0,13.726950326452688,inf,0.0003,nan,nan,nan,1,0.021999037950259086,0.17592478333307063
0,13.771752910878998,inf,0.0003,nan,nan,nan,1,0.002717381725438065,0.042085202700872196
0,13.971897637558904,inf,0.0003,nan,nan,nan,1,0.008262508330538796,0.19188221834936647
