Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,2,10,0.2245006454802579,0.8689,9.979166666666666,0.22643630875535967,0.013269952525974606,0.0022412957307525907,0.1257371756487154,0.062411404348302134,nan,nan,nan,nan,nan,nan,19.86472571851678,
distributed,0,2,20,0.2242997178477806,0.8772,19.949852507374633,0.4159451654038515,0.013330791945283808,0.001330351392189997,0.1262865405395075,0.051079514214037613,nan,nan,nan,nan,nan,nan,20.001465009973785,
distributed,0,2,30,0.22285146268559836,0.8741,29.876288659793815,0.9483713850721502,0.013140661108552533,0.0012193479126418206,0.11956077812380972,0.048935060913860344,nan,nan,nan,nan,nan,nan,19.97052857878882,
distributed,0,2,50,0.2235537200016494,0.8722,49.60126582278481,6.9230769230769225,0.013353156606331941,0.000989835486516121,0.11738605760292989,0.06089869123449083,nan,nan,nan,nan,nan,nan,19.861167079488318,
distributed,0,2,70,0.22332647334129926,0.877,69.48137108792847,12.640806936267953,0.012911103130314511,0.0009877931725216153,0.12391347210138322,0.06011573517006354,nan,nan,nan,nan,nan,nan,19.911674596716935,
distributed,0,2,100,0.2226179499934712,0.8742,99.92933618843684,24.694938752708012,0.013207146656155461,0.0012362732736638357,0.129538945060414,0.05513156196993807,nan,nan,nan,nan,nan,nan,20.058246327412643,
distributed,0,3,-1,0.2965926629884295,0.795,53.028301886792455,16.696270005566074,0.012477843882230786,0.0021177062257112258,0.12942224121054266,0.044711718227883834,17.38418250785566,4.64905791656674,3.271926324786286,0.24018712702874256,1.2667119729030842,0.5867137401383992,20.05132847712618,
distributed,0,3,1,0.23973066749090383,0.8507,1.0,0.0,0.013781544757253723,0.00611249837044602,0.13323613008784035,0.0572551546220935,nan,nan,nan,nan,nan,nan,20.141421453777888,
distributed,0,3,2,0.23273383889613927,0.8577,1.9959839357429718,0.08908422980528036,0.01274131415918825,0.005045280589083889,0.1337010497428889,0.048053088609075,nan,nan,nan,nan,nan,nan,19.88637212137798,
distributed,0,3,3,0.2315859337827923,0.8605,2.9945054945054945,0.18032786885245902,0.013409604541270952,0.0035507442566071953,0.12512091601196998,0.05138814306393609,nan,nan,nan,nan,nan,nan,20.140225707026328,
