case,tValue,lossValue,predictionAccuracy,betaAdapt,deltaAdapt,rhoAdapt,tau,it_each_local,it_each_global
0,0.15136442815254686,1.1348901739818221e+61,0.51,nan,nan,nan,10,0.012451731556517059,0.02684711258737628
0,0.414167128456434,2.3823997789431318e+126,0.5073,nan,nan,nan,10,0.014669473064600322,0.1161079696578839
0,0.6156371421307092,5.1164478542915975e+191,0.5073,nan,nan,nan,10,0.009408660667699293,0.10738340699728222
0,0.9261409252551113,1.0327283478845756e+257,0.5073,nan,nan,nan,10,0.012538566115632246,0.18511812196807959
0,1.2139743303295778,inf,0.5073,nan,nan,nan,10,0.009757759153314342,0.19025581354132298
0,1.4480992918076774,inf,0.5073,nan,nan,nan,10,0.013980959253999389,0.09431536893810569
0,1.7829339274174316,inf,0.5073,nan,nan,nan,10,0.015814642644494996,0.17668820916480438
0,2.1430239695738345,inf,0.5073,nan,nan,nan,10,0.013328515751096868,0.2268048846454341
0,2.381169695124382,inf,0.5073,nan,nan,nan,10,0.013355193896593676,0.10459378658461052
0,2.6716494602787515,inf,0.5073,nan,nan,nan,10,0.012406241933984272,0.1664173458145267
0,2.7118636146165547,inf,0.4926,nan,nan,nan,1,0.004898326181047042,0.035315828156756046
0,2.973280291601269,inf,0.4926,nan,nan,nan,10,0.012599749775144534,0.13541917923326885
0,3.053912835891243,inf,0.5073,nan,nan,nan,1,0.015362557471764123,0.0652699868182097
0,3.2726809156477845,inf,0.5073,nan,nan,nan,10,0.012344537767315497,0.09532270208338693
0,3.3973009143585884,inf,0.4926,nan,nan,nan,1,0.012065814735123788,0.1125541839756801
0,3.621761055776683,inf,0.4926,nan,nan,nan,10,0.010612219484073596,0.11833794657735881
0,3.752717179294573,inf,0.5073,nan,nan,nan,1,0.019867896778808465,0.11108822673908159
0,3.944630140531239,inf,0.5073,nan,nan,nan,10,0.016734596962550426,0.024566991611161937
0,4.131430147562559,inf,0.0,nan,nan,nan,1,0.02290972440079865,0.16389028263052122
0,4.348738395212954,inf,0.0,nan,nan,nan,10,0.015304013737851252,0.06426811027188226
0,4.423935177711542,inf,0.0,nan,nan,nan,1,0.02053383639945921,0.054662946099128154
0,4.505945709211783,inf,0.0,nan,nan,nan,1,0.01646678732928558,0.06554374417095579
0,4.701738609421027,inf,0.0,nan,nan,nan,1,0.008157304618617165,0.18763559559062676
0,4.88465482375519,inf,0.0,nan,nan,nan,1,0.029108461165741388,0.1538077531684209
0,5.079294525839724,inf,0.0,nan,nan,nan,1,0.02847246865479383,0.16616723342974055
0,5.256560062082121,inf,0.0,nan,nan,nan,1,0.014940345695304252,0.16232519054709268
0,5.401662763957538,inf,0.0,nan,nan,nan,1,0.018008680706663404,0.12709402116875362
0,5.54647774851513,inf,0.0,nan,nan,nan,1,0.017629563115795516,0.12718542144179681
0,5.780314066825123,inf,0.0,nan,nan,nan,1,0.015019030781713296,0.2188172875282796
0,5.9021690450290984,inf,0.0,nan,nan,nan,1,0.012960937539056213,0.10889404066491948
0,6.050877090857154,inf,0.0,nan,nan,nan,1,0.011313633652308376,0.13739441217574666
0,6.244976422679772,inf,0.0,nan,nan,nan,1,0.013074925767300733,0.1810244060553184
0,6.3694139777674375,inf,0.0,nan,nan,nan,1,0.01278089949887245,0.11165665558879251
0,6.528285208677068,inf,0.0,nan,nan,nan,1,0.006886078246077431,0.15198515266355303
0,6.787626579679657,inf,0.0,nan,nan,nan,1,0.0017548832677026591,0.2575864877348862
0,6.923639473164417,inf,0.0,nan,nan,nan,1,0.010938096185596772,0.12507479729916285
0,7.00950851626466,inf,0.0,nan,nan,nan,1,0.019398437169026905,0.06647060593121587
0,7.195073166306095,inf,0.0,nan,nan,nan,1,0.022532958349852764,0.16303169169158258
0,7.376757683676107,inf,0.0,nan,nan,nan,1,0.00447058947730185,0.17721392789271015
0,7.58240054119538,inf,0.0,nan,nan,nan,1,0.010697121391608663,0.19494573612766353
0,7.697003552254593,inf,0.0,nan,nan,nan,1,0.007358815115888575,0.10724419594332418
0,7.874058910105672,inf,0.0,nan,nan,nan,1,0.02181226424168746,0.1552430936093921
0,8.023983124320834,inf,0.0,nan,nan,nan,1,0.013755783867607924,0.13616843034755374
0,8.20720762442206,inf,0.0,nan,nan,nan,1,0.011108898823385938,0.1721156012778397
0,8.310203992332966,inf,0.0,nan,nan,nan,1,0.00454345623542712,0.09845291167547866
0,8.509537836673497,inf,0.0,nan,nan,nan,1,0.012126872448446456,0.18720697189208496
0,8.586246759285658,inf,0.0,nan,nan,nan,1,0.008132424015802974,0.06857649859635766
0,8.718383448982465,inf,0.0,nan,nan,nan,1,0.007653770806766658,0.1244829188900406
0,8.892826225990627,inf,0.0,nan,nan,nan,1,0.017410403283530728,0.1570323737246314
0,9.072171656925189,inf,0.0,nan,nan,nan,1,0.013178162216820664,0.16616726871774246
0,9.34974694604445,inf,0.0,nan,nan,nan,1,0.02022636067206945,0.2573489284471919
