case,tValue,lossValue,predictionAccuracy,betaAdapt,deltaAdapt,rhoAdapt,tau,it_each_local,it_each_global
0,0.2339268649400813,0.38961641503032424,0.8158,nan,nan,nan,10,0.013377940776640567,0.10014745717367562
0,0.4165272912518597,0.3329619754555683,0.8235,nan,nan,nan,10,0.010429427045184852,0.07830615585992988
0,0.7514814418348867,0.3024447208802292,0.8263,nan,nan,nan,10,0.01590465442421622,0.17590760634086483
0,1.0393311793079638,0.2845651477888943,0.8305,nan,nan,nan,10,0.009273543323942974,0.19511430423364734
0,1.2404223933926242,0.27270680851064893,0.8333,nan,nan,nan,10,0.013727001389431842,0.06382120019034201
0,1.4654051736271771,0.26390140081871677,0.8367,nan,nan,nan,10,0.013911757778174192,0.08586520245281104
0,1.70528995435291,0.25792000124761744,0.8374,nan,nan,nan,10,0.015061552413604174,0.08926925658969112
0,1.929013515417782,0.2531980699409872,0.8405,nan,nan,nan,10,0.011714266997714506,0.10658089108772689
0,2.190656990373399,0.24962834780021675,0.8423,nan,nan,nan,10,0.01416632942945989,0.11998018066101789
0,2.440428988730583,0.24673395242773868,0.8427,nan,nan,nan,10,0.013405026553409836,0.11572173282308562
0,2.7240292437481406,0.24419220941501155,0.8472,nan,nan,nan,10,0.011140699298331141,0.1721932620342462
0,2.9167020336711973,0.2422583115599512,0.8482,nan,nan,nan,10,0.010757120115522555,0.08510158876783107
0,3.1099319454322547,0.24043398071057986,0.8498,nan,nan,nan,10,0.012199791000941675,0.07123200175164088
0,3.3773126972593395,0.2389867928247197,0.8523,nan,nan,nan,10,0.009641686251280292,0.17096388931428202
0,3.6051480879129745,0.2376338787011989,0.8522,nan,nan,nan,10,0.011800057379890806,0.10983481685472675
0,3.778491595250446,0.236699365679955,0.8544,nan,nan,nan,10,0.013295158994861384,0.04039191738885782
0,4.065887293226957,0.23534546255157368,0.8556,nan,nan,nan,10,0.014862317372724598,0.13877252424926542
0,4.25144644893415,0.23465489415617954,0.8568,nan,nan,nan,10,0.012654840911689119,0.05901074659030171
0,4.481273835694984,0.23391052436442533,0.8561,nan,nan,nan,10,0.013623983792265912,0.09358754883817502
0,4.786836433754922,0.23309204894684687,0.8574,nan,nan,nan,10,0.01160579161229319,0.1895046819370056
0,5.032735786918873,0.23246433136666123,0.8584,nan,nan,nan,10,0.01183832726760868,0.12751608048786453
0,5.143220281543614,0.2321282322328024,0.8583,nan,nan,nan,10,0.011048449452474034,1e-10
0,5.490929240002722,0.23125470119995464,0.8583,nan,nan,nan,10,0.014115764071062579,0.2065513177484828
0,5.758367793072462,0.23083576866482713,0.8608,nan,nan,nan,10,0.013224157756641774,0.13519697550332171
0,5.919812829719938,0.23035248712615222,0.8612,nan,nan,nan,10,0.011317405538094115,0.048270981266535645
0,6.212040791007652,0.22982881778639358,0.8608,nan,nan,nan,10,0.012484785508379243,0.16738010620392135
0,6.414820761827102,0.22946472310527155,0.8617,nan,nan,nan,10,0.01197865117210192,0.0829934590984302
0,6.717038667743585,0.22913352883071397,0.8628,nan,nan,nan,10,0.016726296546037044,0.13495494045611295
0,6.884086462562285,0.2286994851889454,0.8629,nan,nan,nan,10,0.01038855003245479,0.06316229449415242
0,7.0941376340873035,0.22834456775316597,0.8636,nan,nan,nan,10,0.011649580647576284,0.0935553650492556
0,7.29288064830776,0.2281265824959784,0.8631,nan,nan,nan,10,0.010985505019130069,0.08888796402915575
0,7.5985227390191135,0.2277814037365753,0.864,nan,nan,nan,10,0.015871833719940772,0.14692375351194611
0,7.888825337963994,0.22754743020137938,0.8656,nan,nan,nan,10,0.017410720481734025,0.11619539412754025
0,8.053265685454692,0.22728204115585865,0.8657,nan,nan,nan,10,0.012404899401465858,0.040391353476038366
0,8.401664091767355,0.22712576272049928,0.8666,nan,nan,nan,10,0.017089539153575993,0.17750301477690328
0,8.655389444452158,0.22686109437394958,0.8672,nan,nan,nan,10,0.009671987088968334,0.15700548179511958
0,8.999063365988428,0.22668967141728139,0.8663,nan,nan,nan,10,0.016793676278606787,0.17573715875020215
0,9.278417215470428,0.2264630867773052,0.8683,nan,nan,nan,10,0.014080393798315074,0.13854991149884874
0,9.46843793907651,0.22633957828851417,0.8682,nan,nan,nan,10,0.010660403915041916,0.08341668445566272
